Gene,discovery_rank,train_patient_consensus_top10_frequency,validation_patient_consensus_top10_frequency,depmap_ccrcc_leave1out_worst_mean_residual,depmap_ccrcc_minus_other_kidney_mean,sanger_renal_dependent_n,sanger_renal_observed_n,peer_reviewed_direct_support_n,peer_reviewed_direct_opposition_n,non_peer_reviewed_direct_support_n,clinical_stage_tractability_true_n,drug_and_clinical_candidate_n,drive_ccrcc_n,drive_ccrcc_residual_mean,drive_ccrcc_residual_ci_low,drive_ccrcc_residual_ci_high,drive_ccrcc_minus_other_kidney_mean,drive_ccrcc_minus_other_kidney_ci_low,drive_ccrcc_minus_other_kidney_ci_high,gtex_kidney_max_median_tpm,hpa_renal_cell_type_positive_n,hpa_renal_cell_type_max_ncpm,tcga_train_paired_median,tcga_train_paired_median_ci_low,tcga_train_paired_median_ci_high,tcga_validation_paired_median,validation_rank,common_essential,validation_top100_retained,depmap_kidney_lineage_direction,sanger_all_three_support,orthogonal_rnai_support,rnai_ccrcc_specific_support,direct_peer_reviewed_support,direct_peer_reviewed_opposition,normal_organoid_liability_record_n,normal_organoid_liability,paired_tumor_upregulation,clinical_stage_tractability,patient_derived_functional_truth_available,evidence_class,final_interpretation,required_next_evidence,claim_ceiling
YPEL5,11.0,0.1025641025641025,0.0943396226415094,-0.024254428843126,-0.2425751451290015,2.0,3.0,0,1,0,0,0,,,,,,,,59.0082,8,51.8,-0.5325994491577148,-0.6462001800537109,-0.427800178527832,-0.5699000358581543,10.0,False,True,True,False,False,False,False,True,0,False,False,False,False,E4_直接反向证据,存在同行评议的直接 loss-of-function 反向结果，当前预测不能解释为稳定治疗脆弱性。,在患者来源 ccRCC 模型中用同一扰动终点解决方向冲突。,最高为细胞系/表达驱动的计算假设；不能称患者特异依赖或临床靶点
HSD17B12,12.0,0.0961538461538461,0.0566037735849056,-0.0456601903001892,-0.1607652308814453,0.0,3.0,0,0,0,0,0,7.0,0.0208121991419213,-0.0381872091510674,0.0795882444916622,0.0526575859829666,-0.0329866617467123,0.1373534709520427,22.6858,8,265.6,-1.0215997695922852,-1.2537002563476562,-0.8264999389648438,-1.076850414276123,13.0,False,True,True,False,False,False,False,False,0,False,False,False,False,E5_计算候选证据不足,候选来自冻结计算排序，但现有正交功能证据不足或未覆盖。,先获得独立功能扰动证据，再讨论患者迁移或治疗价值。,最高为细胞系/表达驱动的计算假设；不能称患者特异依赖或临床靶点
PSTK,13.0,0.0961538461538461,0.0566037735849056,-0.060080176831726,0.1044842164229714,0.0,3.0,0,0,0,0,0,,,,,,,,2.08424,8,13.9,-0.8989996910095215,-1.1005001068115234,-0.6715998649597168,-0.4927999973297119,15.0,False,True,False,False,False,False,False,False,0,False,False,False,False,E5_计算候选证据不足,候选来自冻结计算排序，但现有正交功能证据不足或未覆盖。,先获得独立功能扰动证据，再讨论患者迁移或治疗价值。,最高为细胞系/表达驱动的计算假设；不能称患者特异依赖或临床靶点
FOXA1,14.0,0.0769230769230769,0.0377358490566037,0.0574404811110088,0.031720455679478,0.0,3.0,0,0,0,0,0,7.0,0.0584182675662531,-0.0359665708193416,0.1517592771091536,-0.0570804141703986,-0.2346895428795125,0.0845341530986925,0.050498,5,26.6,-0.4515999853610992,-1.0262999534606934,-0.163100004196167,-0.1118000149726867,25.0,False,True,False,False,False,False,False,False,0,False,False,False,False,E5_计算候选证据不足,候选来自冻结计算排序，但现有正交功能证据不足或未覆盖。,先获得独立功能扰动证据，再讨论患者迁移或治疗价值。,最高为细胞系/表达驱动的计算假设；不能称患者特异依赖或临床靶点
UBR5,15.0,0.0705128205128205,0.0377358490566037,0.2270062520781303,0.1605027921384934,0.0,3.0,0,0,0,0,0,7.0,0.1907616199347142,0.0466669121758368,0.2955828108311403,0.3122276993507393,0.0286073143992322,0.6962146460870433,16.7651,8,267.9,-0.3151998519897461,-0.5076999664306641,0.020400047302246,-0.6212501525878906,21.0,False,True,False,False,False,False,False,False,0,False,False,False,False,E5_计算候选证据不足,候选来自冻结计算排序，但现有正交功能证据不足或未覆盖。,先获得独立功能扰动证据，再讨论患者迁移或治疗价值。,最高为细胞系/表达驱动的计算假设；不能称患者特异依赖或临床靶点
CCND1,16.0,0.0641025641025641,0.0377358490566037,-0.2896406051245602,-0.4430071506084818,2.0,3.0,1,0,0,1,2,8.0,-0.1220119256297631,-0.3587240347078697,0.1030771366841558,-0.3637308700856492,-0.6668254607586078,-0.0667933993334496,33.4244,8,60.7,2.516900062561035,1.8768997192382808,2.640899658203125,2.290499687194824,31.0,False,True,True,False,False,False,True,False,0,False,True,True,False,E2_可成药与肿瘤表达支持但功能复现不足,存在直接文献、临床阶段tractability和肿瘤高表达，但DRIVE绝对依赖区间跨0。,在独立患者来源ccRCC模型中复现基础依赖，而非仅依赖表达或药物记录。,最高为细胞系/表达驱动的计算假设；不能称患者特异依赖或临床靶点
GCN1,17.0,0.0448717948717948,0.0,0.2004786130730162,0.2120509574641332,,,0,0,0,0,0,,,,,,,,33.4123,8,34.7,-0.2074003219604492,-0.4365997314453125,0.0327997207641601,-0.3032999038696289,402.0,False,False,False,False,False,False,False,False,0,False,False,False,False,E5_计算候选证据不足,候选来自冻结计算排序，但现有正交功能证据不足或未覆盖。,先获得独立功能扰动证据，再讨论患者迁移或治疗价值。,最高为细胞系/表达驱动的计算假设；不能称患者特异依赖或临床靶点
UXS1,18.0,0.0448717948717948,0.0377358490566037,0.1070794672586701,0.0396888822204235,0.0,3.0,0,0,0,0,0,,,,,,,,43.2415,8,132.2,-1.3027000427246094,-1.770700454711914,-0.7715005874633789,-1.2132997512817385,28.0,False,True,False,False,False,False,False,False,0,False,False,False,False,E5_计算候选证据不足,候选来自冻结计算排序，但现有正交功能证据不足或未覆盖。,先获得独立功能扰动证据，再讨论患者迁移或治疗价值。,最高为细胞系/表达驱动的计算假设；不能称患者特异依赖或临床靶点
FERMT2,19.0,0.0448717948717948,0.1132075471698113,-0.6781419301415511,-0.3904248634071062,2.0,3.0,0,0,0,0,0,7.0,-0.6822085800622558,-0.9255507620283684,-0.4588534434944688,-0.2379791268471631,-0.62819916022537,0.2281077715878769,33.4611,8,360.0,-0.6546001434326172,-1.0898990631103516,-0.3318996429443359,-0.8715996742248535,8.0,False,True,True,False,True,False,False,False,0,False,False,False,False,E2_肾谱系功能复现但特异性不足,RNAi绝对依赖区间低于0，但未证明ccRCC相对其他Kidney更强，且缺少患者来源功能真值。,患者来源ccRCC独立扰动、其他Kidney对照和正常肾安全窗实验。,最高为细胞系/表达驱动的计算假设；不能称患者特异依赖或临床靶点
WDR73,20.0,0.0384615384615384,0.0754716981132075,-0.3424988747599291,-0.2568121502796808,2.0,3.0,0,0,0,0,0,7.0,0.1015247585193322,0.0029402228120309,0.1872950768873984,0.0346018941686974,-0.0976076270230413,0.1653541767840294,10.1302,8,49.8,-0.0244998931884765,-0.1174993515014648,0.2920999526977539,0.0233497619628906,12.0,False,True,True,False,False,False,False,False,0,False,False,False,False,E5_计算候选证据不足,候选来自冻结计算排序，但现有正交功能证据不足或未覆盖。,先获得独立功能扰动证据，再讨论患者迁移或治疗价值。,最高为细胞系/表达驱动的计算假设；不能称患者特异依赖或临床靶点
